(0,0) = 1.049500990511140e-28 
(1,0) = 3.149970694014910e-27 
(0,1) = 3.147035249051930e-27 
(2,0) = 4.586030653102510e-26 
(1,1) = 9.758381594605020e-26 
(0,2) = 4.577047702274960e-26 
(3,0) = 4.500752002910450e-25 
(2,1) = 1.437122552567610e-24 
(1,2) = 1.447857471440960e-24 
(0,3) = 4.453768761414420e-25 
(4,0) = 1.849529984609970e-24 
(3,1) = 1.391274640512140e-23 
(2,2) = 2.232019698165840e-23 
(1,3) = 1.391623313590240e-23 
(0,4) = 1.832336274572460e-24 
(5,0) = 6.086496441072840e-24 
(4,1) = 5.690205727384230e-23 
(3,2) = 2.178587562779070e-22 
(2,3) = 2.195975142665880e-22 
(1,4) = 5.652143412464190e-23 
(0,5) = 6.031389962896010e-24 
(6,0) = 1.669295813938940e-23 
(5,1) = 1.863613751743470e-22 
(4,2) = 8.813360096474210e-22 
(3,3) = 2.250226677019210e-21 
(2,4) = 8.845606690306350e-22 
(1,5) = 1.852044347291690e-22 
(0,6) = 1.656553671749680e-23 
(7,0) = 3.533568807927270e-23 
(6,1) = 5.099939271602640e-22 
(5,2) = 2.868864014308300e-21 
(4,3) = 9.215813866919310e-21 
(3,4) = 9.316782662523070e-21 
(2,5) = 2.860790549843620e-21 
(1,6) = 5.065803515183050e-22 
(0,7) = 3.508722256610630e-23 
(8,0) = 6.537390821472320e-23 
(7,1) = 1.077341447229740e-21 
(6,2) = 7.812459303459580e-21 
(5,3) = 2.963663542479620e-20 
(4,4) = 3.989548889974080e-20 
(3,5) = 2.988914902753130e-20 
(2,6) = 7.784018091294930e-21 
(1,7) = 1.071144744548240e-21 
(0,8) = 6.498442409338170e-23 
(9,0) = 1.074106661324130e-22 
(8,1) = 1.990975851290850e-21 
(7,2) = 1.646754232376630e-20 
(6,3) = 8.020183565709019e-20 
(5,4) = 1.290487552011830e-19 
(4,5) = 1.314384960175460e-19 
(3,6) = 8.019789899460929e-20 
(2,7) = 1.639256597745050e-20 
(1,8) = 1.980272345347920e-21 
(0,9) = 1.068341582735660e-22 
(10,0) = 1.585966959055410e-22 
(9,1) = 3.267233609909150e-21 
(8,2) = 3.036851971312350e-20 
(7,3) = 1.682806838638110e-19 
(6,4) = 3.451665444254890e-19 
(5,5) = 4.483434741672110e-19 
(4,6) = 3.488558177329710e-19 
(3,7) = 1.680387863708560e-19 
(2,8) = 3.024835279120300e-20 
