1  2  0  1 
2  0  2  1 
1  3  0  2 
2  0  3  1 
1  4  0  2 
1  3  1  1 
2  1  3  1 
2  0  4  2 
1  5  0  3 
1  4  1  2 
2  1  4  1 
2  0  5  2 
1  6  0  3 
1  5  1  2 
1  4  2  1 
2  2  4  1 
2  1  5  2 
2  0  6  3 
1  7  0  4 
1  6  1  3 
1  5  2  2 
2  2  5  1 
2  1  6  2 
2  0  7  3 
1  8  0  4 
1  7  1  3 
1  6  2  2 
1  5  3  1 
2  3  5  1 
2  2  6  2 
2  1  7  3 
2  0  8  4 
1  9  0  5 
1  8  1  4 
1  7  2  3 
1  6  3  2 
2  3  6  1 
2  2  7  2 
2  1  8  3 
2  0  9  4 
1  10  0  5 
1  9  1  4 
1  8  2  3 
1  7  3  2 
1  6  4  1 
2  4  6  1 
2  3  7  2 
2  2  8  3 
2  1  9  4 
2  0  10  5 
1  11  0  6 
1  10  1  5 
1  9  2  4 
1  8  3  3 
1  7  4  2 
2  4  7  1 
2  3  8  2 
2  2  9  3 
2  1  10  4 
2  0  11  5 
1  12  0  6 
1  11  1  5 
1  10  2  4 
1  9  3  3 
1  8  4  2 
1  7  5  1 
2  5  7  1 
2  4  8  2 
2  3  9  3 
2  2  10  4 
2  1  11  5 
2  0  12  6 
1  13  0  7 
1  12  1  6 
1  11  2  5 
1  10  3  4 
1  9  4  3 
1  8  5  2 
2  5  8  1 
2  4  9  2 
2  3  10  3 
2  2  11  4 
2  1  12  5 
2  0  13  6 
1  14  0  7 
1  13  1  6 
1  12  2  5 
1  11  3  4 
1  10  4  3 
1  9  5  2 
1  8  6  1 
2  6  8  1 
2  5  9  2 
2  4  10  3 
2  3  11  4 
2  2  12  5 
2  1  13  6 
2  0  14  7 
1  15  0  8 
1  14  1  7 
1  13  2  6 
1  12  3  5 
1  11  4  4 
1  10  5  3 
1  9  6  2 
2  6  9  1 
2  5  10  2 
2  4  11  3 
2  3  12  4 
2  2  13  5 
2  1  14  6 
2  0  15  7 
1  16  0  8 
1  15  1  7 
1  14  2  6 
1  13  3  5 
1  12  4  4 
1  11  5  3 
1  10  6  2 
